country;year;sex;age;suicides_no;population;suicides/100k pop;country-year;HDI for year;  gdp_for_year ($)  ;gdp_per_capita ($);generation
Albania;2007;male;75+ years;8;42.366;19;Albania2007;; $10.701.011.897 ; $3.863,00 ;Silent
Albania;1997;male;25-34 years;36;236.000;15;Albania1997;; $2.359.903.108 ; $793,00 ;Generation X
Albania;1997;male;15-24 years;33;244.400;14;Albania1997;; $2.359.903.108 ; $793,00 ;Generation X
Albania;2002;male;75+ years;4;31.007;13;Albania2002;; $4.435.078.648 ; $1.573,00 ;Silent
Albania;2003;female;75+ years;6;49.088;12;Albania2003;; $5.746.945.913 ; $2.021,00 ;Silent
Albania;2008;male;25-34 years;21;172.855;12;Albania2008;; $12.881.352.688 ; $4.672,00 ;Generation X
Albania;1997;male;75+ years;3;25.400;12;Albania1997;; $2.359.903.108 ; $793,00 ;G.I. Generation
Albania;1998;male;75+ years;3;25.800;12;Albania1998;; $2.707.123.772 ; $899,00 ;G.I. Generation
Albania;1999;male;75+ years;3;25.900;12;Albania1999;; $3.414.760.915 ; $1.127,00 ;G.I. Generation
Albania;2004;male;75+ years;4;35.526;11;Albania2004;; $7.314.865.176 ; $2.544,00 ;Silent
Albania;2002;male;25-34 years;23;206.286;11;Albania2002;; $4.435.078.648 ; $1.573,00 ;Generation X
Albania;1998;male;15-24 years;27;248.800;11;Albania1998;; $2.707.123.772 ; $899,00 ;Generation X
Albania;1998;female;15-24 years;32;295.600;11;Albania1998;; $2.707.123.772 ; $899,00 ;Generation X
Albania;1998;male;25-34 years;26;240.400;11;Albania1998;; $2.707.123.772 ; $899,00 ;Generation X
Albania;2001;male;25-34 years;22;206.484;11;Albania2001;; $4.060.758.804 ; $1.451,00 ;Generation X
Albania;2004;male;35-54 years;39;391.767;10;Albania2004;; $7.314.865.176 ; $2.544,00 ;Boomers
Albania;2008;male;35-54 years;37;377.119;10;Albania2008;; $12.881.352.688 ; $4.672,00 ;Boomers
Albania;1999;male;15-24 years;24;250.600;10;Albania1999;; $3.414.760.915 ; $1.127,00 ;Generation X
Albania;1999;female;75+ years;4;42.400;9;Albania1999;; $3.414.760.915 ; $1.127,00 ;G.I. Generation
Albania;2008;male;55-74 years;21;228.672;9;Albania2008;; $12.881.352.688 ; $4.672,00 ;Silent
Albania;2002;male;35-54 years;35;382.139;9;Albania2002;; $4.435.078.648 ; $1.573,00 ;Boomers
Albania;2001;male;35-54 years;34;378.826;9;Albania2001;; $4.060.758.804 ; $1.451,00 ;Boomers
Albania;1989;male;75+ years;2;22.500;9;Albania1989;; $2.335.124.988 ; $833,00 ;G.I. Generation
Albania;2008;female;75+ years;5;59.369;8;Albania2008;; $12.881.352.688 ; $4.672,00 ;Silent
Albania;2010;male;55-74 years;20;241.852;8;Albania2010;0,72; $11.926.953.259 ; $4.359,00 ;Silent
Albania;1994;male;75+ years;2;24.600;8;Albania1994;; $1.985.673.798 ; $697,00 ;G.I. Generation
Albania;2003;male;55-74 years;16;201.520;8;Albania2003;; $5.746.945.913 ; $2.021,00 ;Silent
Albania;1999;male;35-54 years;31;391.100;8;Albania1999;; $3.414.760.915 ; $1.127,00 ;Boomers
Albania;1997;male;35-54 years;30;380.800;8;Albania1997;; $2.359.903.108 ; $793,00 ;Boomers
Albania;1996;male;75+ years;2;25.400;8;Albania1996;; $3.314.898.292 ; $1.127,00 ;G.I. Generation
Albania;2004;male;25-34 years;16;203.938;8;Albania2004;; $7.314.865.176 ; $2.544,00 ;Generation X
Albania;1999;male;25-34 years;19;242.300;8;Albania1999;; $3.414.760.915 ; $1.127,00 ;Generation X
Albania;2007;male;35-54 years;29;378.626;8;Albania2007;; $10.701.011.897 ; $3.863,00 ;Boomers
Albania;1999;male;55-74 years;14;185.200;8;Albania1999;; $3.414.760.915 ; $1.127,00 ;Silent
Albania;1998;male;35-54 years;29;388.200;7;Albania1998;; $2.707.123.772 ; $899,00 ;Boomers
Albania;1993;male;15-24 years;18;243.300;7;Albania1993;; $1.228.071.038 ; $437,00 ;Generation X
Albania;2000;male;25-34 years;17;232.000;7;Albania2000;0,66; $3.632.043.908 ; $1.299,00 ;Generation X
Albania;2003;male;35-54 years;28;386.196;7;Albania2003;; $5.746.945.913 ; $2.021,00 ;Boomers
Albania;2008;female;15-24 years;20;276.073;7;Albania2008;; $12.881.352.688 ; $4.672,00 ;Millenials
Albania;1997;female;15-24 years;21;294.000;7;Albania1997;; $2.359.903.108 ; $793,00 ;Generation X
Albania;1996;male;15-24 years;17;243.600;7;Albania1996;; $3.314.898.292 ; $1.127,00 ;Generation X
Albania;2004;female;15-24 years;20;292.268;7;Albania2004;; $7.314.865.176 ; $2.544,00 ;Millenials
Albania;1987;male;15-24 years;21;312.900;7;Albania1987;; $2.156.624.900 ; $796,00 ;Generation X
Albania;1997;male;55-74 years;12;180.300;7;Albania1997;; $2.359.903.108 ; $793,00 ;Silent
Albania;2004;male;15-24 years;19;286.768;7;Albania2004;; $7.314.865.176 ; $2.544,00 ;Millenials
Albania;2002;male;55-74 years;13;198.130;7;Albania2002;; $4.435.078.648 ; $1.573,00 ;Silent
Albania;1994;male;55-74 years;11;171.400;6;Albania1994;; $1.985.673.798 ; $697,00 ;Silent
Albania;1999;female;15-24 years;19;296.800;6;Albania1999;; $3.414.760.915 ; $1.127,00 ;Generation X
Albania;1989;male;25-34 years;18;283.600;6;Albania1989;; $2.335.124.988 ; $833,00 ;Boomers
Albania;2007;male;55-74 years;14;224.160;6;Albania2007;; $10.701.011.897 ; $3.863,00 ;Silent
Albania;1996;male;25-34 years;14;235.300;6;Albania1996;; $3.314.898.292 ; $1.127,00 ;Generation X
Albania;2004;female;75+ years;3;50.970;6;Albania2004;; $7.314.865.176 ; $2.544,00 ;Silent
Albania;1997;female;25-34 years;16;273.900;6;Albania1997;; $2.359.903.108 ; $793,00 ;Generation X
Albania;2002;male;15-24 years;15;263.067;6;Albania2002;; $4.435.078.648 ; $1.573,00 ;Millenials
Albania;2000;male;55-74 years;10;177.400;6;Albania2000;0,66; $3.632.043.908 ; $1.299,00 ;Silent
Albania;2001;male;55-74 years;11;196.670;6;Albania2001;; $4.060.758.804 ; $1.451,00 ;Silent
Albania;1995;male;25-34 years;13;232.900;6;Albania1995;0,62; $2.424.499.009 ; $835,00 ;Generation X
Albania;1996;female;15-24 years;16;287.700;6;Albania1996;; $3.314.898.292 ; $1.127,00 ;Generation X
Albania;2003;male;15-24 years;15;273.235;5;Albania2003;; $5.746.945.913 ; $2.021,00 ;Millenials
Albania;1988;female;75+ years;2;36.400;5;Albania1988;; $2.126.000.000 ; $769,00 ;G.I. Generation
Albania;2010;male;35-54 years;20;371.611;5;Albania2010;0,72; $11.926.953.259 ; $4.359,00 ;Generation X
Albania;1988;male;15-24 years;17;319.200;5;Albania1988;; $2.126.000.000 ; $769,00 ;Generation X
